#plot tree x y z species d1989 h1989 hCr1989 d1993 h1993 hCr1993
2 1 608152.6 484416.1 338.3 PCAB 28.73 29.75 20.87 29.81 29.91 23.46
2 101 608185.7 484402.8 335.7 PCAB 39.81 30.71 18.71 41.25 31.29 19.93
2 103 608184.9 484404.6 335.9 PCAB 32.36 30.41 21.37 34.03 30.82 23.79
2 109 608179.6 484406.5 336.2 PCAB 39.23 32.36 19.45 41.44 33.68 20.39
2 119 608170.8 484409.4 336.6 PCAB 42.36 31.69 19.44 45.2 33.11 22.52
2 122 608167.5 484408.5 336.8 PCAB 43.35 32.35 20.8 44.96 32.91 22.05
2 135 608159.3 484412.6 337.7 PCAB 37.36 31.92 19.85 38.56 32.82 20.48
2 141 608154.8 484412.5 337.8 PCAB 51.78 33.12 19.68 54.9 33.65 23.34
2 149 608153.7 484409.7 337.3 PCAB 27.85 26.83 17.63 28.13 27.16 18.57
2 16 608164.5 484414.3 337.5 PCAB 37.95 32.34 20.29 39.96 33.15 20.62
2 165 608163.8 484406.6 336.4 PCAB 35.79 31.63 18.71 37.78 32.37 20.79
2 177 608172.5 484404.4 335.9 PCAB 33.05 29.77 19.24 33.52 30.15 20.61
2 181 608179.5 484403.2 335.6 PCAB 32.75 31.19 19.86 34.62 32.45 21.01
2 192 608188.3 484400.6 335.2 PCAB 36.68 29.91 18.3 37.78 30.63 19.15
2 198 608193.8 484397.4 334.6 PCAB 30.99 30.3 18.98 31.74 31.19 20.04
2 201 608196.7 484396.6 334.6 PCAB 30.11 29.79 19.43 30.74 30.84 20.1
2 206 608200.6 484395.1 334.3 PCAB 33.73 30.19 18.45 34.44 31.77 19.03
2 215 608208.4 484394.4 334.1 PCAB 23.83 24.28 16.56 24.13 25.05 18.45
2 22 608168.4 484411.6 337.2 PCAB 26.97 29.89 18.21 27.19 30.38 18.95
2 226 608197.2 484393.3 333.9 PCAB 37.95 30.71 19.25 39.86 32.81 20.22
2 230 608193.1 484394.7 334.2 PCAB 35.01 30.2 18.19 36.1 31.24 19.32
2 232 608190.4 484396.9 334.4 PCAB 34.32 31.23 18.94 35.3 32.65 19.89
2 243 608180 484398.4 334.9 PCAB 31.77 33.05 20.3 32.77 33.31 20.32
2 253 608173.2 484401.9 335.6 PCAB 25.89 27.82 19.29 26.31 27.96 20.04
2 259 608169 484403.2 335.7 PCAB 40.01 34.45 22.77 42.33 36.08 25.07
2 265 608164.4 484403.2 335.7 PCAB 23.93 27.45 18.98 24.14 27.67 19.6
2 275 608156.1 484407.2 336.9 PCAB 36.68 30.98 20.67 38.31 32.42 22.56
2 289 608152.5 484405.4 336.7 PCAB 24.81 27.27 19.18 25.82 28.72 20.72
2 295 608156.4 484402.7 336.1 PCAB 46.97 33.39 19.69 49.85 34.2 20.05
2 307 608166.3 484399.5 335.2 PCAB 37.17 33.02 20.91 38.77 33.2 20.91
2 320 608177 484397.6 334.8 PCAB 40.6 31.17 20.19 42.2 32.39 21.84
2 325 608180.7 484396.6 334.7 PCAB 29.81 30.18 21.43 31.26 31.42 23.78
2 33 608177.7 484410.2 336.6 PCAB 39.72 31.79 19.5 41.09 32.26 21.53
2 335 608189.5 484394 334 PCAB 41.58 32.71 18.92 43.05 34.18 19.8
2 338 608191.9 484391.7 333.8 PCAB 30.2 29.67 19.39 30.55 30.27 20.02
2 343 608196.3 484390.4 333.4 PCAB 28.44 28.49 18.83 29.18 29.64 20.08
2 348 608201 484390.4 333.4 PCAB 36.09 30.41 18.44 38.28 32.18 19.84
2 350 608202 484388.5 333.2 PCAB 31.97 28.1 18.7 32.61 28.99 20.02
2 356 608206.3 484387.2 332.8 PCAB 40.11 32.19 19.12 43.12 33.72 20.98
2 379 608185.7 484391.8 333.9 PCAB 36.68 30.49 19.35 37.78 30.68 19.7
2 381 608182.6 484391.3 333.8 PCAB 30.79 30.56 18.65 33.04 32.24 19.11
2 384 608179.9 484393.6 334.2 PCAB 26.73 24.13 18.07 26.76 25.33 19.7
2 392 608173.2 484395.7 334.4 PCAB 29.62 30.38 20.29 31.16 30.68 20.65
2 399 608167.2 484397.5 335 PCAB 38.64 31.09 19.1 40.36 32.16 20.28
2 403 608162.8 484397.5 334.9 PCAB 23.93 27.12 19.02 24.51 28.02 20.18
2 407 608160 484399.6 335.4 PCAB 30.11 29.24 19.34 31.06 30.48 19.35
2 414 608152.6 484400.4 335.6 PCAB 29.26 25.38 19.13 29.67 26.04 19.95
2 421 608147.5 484399.2 335.6 PCAB 33.15 30.95 20.02 34.12 32.23 21.52
2 436 608158.8 484395.7 334.9 PCAB 43.54 33.04 21.39 45.46 34.61 22.58
2 454 608175.3 484392.3 333.9 PCAB 44.13 32.33 21.93 46.11 33.75 23.86
2 459 608179.9 484389 333.5 PCAB 20.79 26.79 18.3 21.46 27.56 18.66
2 469 608188.7 484386.3 332.8 PCAB 32.56 28.32 20.22 33.42 29.43 22.28
2 474 608196.3 484385.8 332.8 PCAB 40.4 32.06 20.32 42.02 33.3 21.47
2 476 608198.9 484384.6 332.6 PCAB 31.19 29.61 18.05 32.05 30.92 18.78
2 489 608199.3 484380.3 331.6 LADC 50.31 33.38 21.91 50.85 34.6 22.65
2 5 608157.4 484416.2 338.2 PCAB 29.52 27.44 19.77 30.46 29.81 21.14
2 500 608189.7 484384.4 332.5 PCAB 43.84 33.88 19.16 44.94 34.43 22.59
2 507 608182.7 484386.6 333 PCAB 28.64 25.93 19.68 28.68 26.47 20.92
2 514 608175.2 484388.8 333.4 PCAB 45.11 33.22 20.03 47.87 34.53 22.57
2 520 608169.8 484390.8 333.9 PCAB 33.93 31.39 19.65 36.7 33.19 20.79
2 528 608162.4 484392.9 334.3 PCAB 40.01 34.12 25.15 42.93 34.63 25.63
2 53 608192.4 484403.8 335.6 PCAB 20.69 25.33 17.9 21.07 25.81 18.53
2 531 608159.8 484393.6 334.5 PCAB 35.7 32.12 21.74 36.32 33.28 24.41
2 533 608156.5 484392.9 334.4 PCAB 26.28 26 18.53 26.64 26.58 18.84
2 542 608149.3 484395.1 334.9 PCAB 40.01 32.91 20.09 41.32 34.38 21.04
2 543 608149.6 484396.6 335.3 PCAB 33.34 31.75 19.89 34.49 32.22 21.28
2 548 608145.5 484393.1 334.6 PCAB 26.28 28.55 20.66 26.88 29.62 22.5
2 553 608149.8 484392 334.5 PCAB 28.24 28.99 20.7 29.19 29.94 21.73
2 56 608195.4 484403.2 335.5 PCAB 34.03 31.82 20.99 35.41 32.58 21.01
2 566 608161.8 484390 333.8 PCAB 25.01 27.68 18.22 25.4 28.88 19.75
2 575 608170.8 484387.4 333.2 PCAB 29.81 30.85 18.6 30.66 31.22 19.25
2 586 608179.8 484383 332.5 PCAB 43.35 32 18.45 45.89 33.47 19.27
2 59 608198.3 484402.1 335.3 PCAB 33.15 31.55 20.29 34.35 32.44 21.54
2 596 608187.5 484382.3 332.2 PCAB 41.48 33.91 20.26 44.31 35.62 22.42
2 601 608193.4 484380.7 331.8 PCAB 37.46 32.79 18.79 39.1 34.56 19.9
2 612 608202.8 484375.9 330.9 PCAB 38.15 31.71 18.38 39.58 33.35 20.28
2 626 608190.8 484378.2 331.4 PCAB 27.85 28.38 18.86 28.68 29.61 19.82
2 637 608183.3 484379 331.8 PCAB 44.91 34.13 20.52 46.77 34.41 22.71
2 647 608174.7 484381.7 332.1 PCAB 35.7 32.03 18.79 37.69 33.88 19.75
2 65 608204.4 484402 335.4 PCAB 24.42 27.07 17.76 24.93 27.23 19.07
2 655 608169.3 484382.7 332.4 PCAB 45.21 33.42 19.92 48.27 33.95 20.05
2 660 608163.8 484386.2 333 PCAB 23.93 29.87 18.76 25.32 31.3 18.89
2 665 608160.5 484385.6 333.2 PCAB 33.73 30.69 18.02 34.16 31.29 20.65
