#tree x y z gew species d2008 h2008 d2013 h2013
1 0.54 6.38 0 1 PISY 11.3 16.6 20.1 18.8
2 -1.03 7.23 0 1 PISY 18 15.3 25.6 17.3
3 -1.11 7.82 0 1 PISY 10.6 15.1 27.2 17.1
4 -4.14 11.37 0 1 PISY 7.8 14.5 12.5 16.4
5 -3.36 12.45 0 1 PISY 6.1 13.7 10.6 15.5
6 -5.22 14.27 0 1 PISY 11.3 16.5 19.8 18.7
7 -6.51 18.38 0 0.441176470588235 PISY 14.1 14.3 21 16.2
8 -4.27 15.83 0 1 PISY 6.5 13 9.4 14.7
9 -1.91 12.76 0 1 PISY 13.8 17.3 24.4 19.6
10 -0.31 12 0 1 PISY 6.6 14.3 14.7 16.2
11 0.59 9.08 0 1 PISY 11.3 16.5 19.8 18.7
12 1.32 8.9 0 1 PISY 14.7 17.2 23.6 19.5
13 2.93 8.09 0 1 PISY 10.2 16.1 17.6 18.2
14 3.57 4.44 0 1 PISY 8 15.4 15 17.4
15 4.8 9.79 0 1 PISY 10.4 16.3 18.6 18.4
16 3.11 11.28 0 1 PISY 11.2 17.8 30 20.1
17 2.57 13.86 0 1 PISY 9.1 17.5 15.8 19.8
18 0.94 14.47 0 1 PISY 9 15.5 15.6 17.6
19 -1.01 15.97 0 1 PISY 14.9 16.4 32.8 18.6
20 -1.54 17.63 0 1 PISY 12.4 16.8 21.3 19
21 0.07 19 0 1 PISY 8.9 15.5 15.5 17.6
22 0.58 17.49 0 1 PISY 10 12.3 13.6 13.9
23 2.17 18.47 0 1 PISY 11.3 16.3 24.9 18.4
24 1.71 16.01 0 1 PISY 12 12.7 12.3 14.4
25 4.07 16.09 0 1 PISY 18.2 16.9 30.4 19.1
26 5.96 14.31 0 1 PISY 11.6 17.8 26.4 20.1
27 8.78 10.65 0 1 PISY 14.3 16.1 26 18.2
28 10.65 12.73 0 1 PISY 8.6 16.3 30.9 18.5
29 10.4 15.3 0 1 PISY 12.5 16.8 21.4 19
30 7.8 15.44 0 1 PISY 9.5 15.8 16.6 17.9
31 5.81 18.09 0 1 PISY 9.4 15.6 16 17.7
32 5.46 18.3 0 1 PISY 10.1 16.3 18.3 18.4
33 5.6 18.78 0 1 PISY 6.8 15.2 14.4 17.2
34 4.27 21.17 0 1 PISY 11.4 16.2 31.6 18.3
35 4.2 23.33 0 0.441176470588235 PISY 9.5 15.8 16.6 17.9
37 7.22 19.83 0 1 PISY 13 17 22.8 19.3
38 8.24 17.67 0 1 PISY 13 17 22.8 19.3
40 9.75 17.81 0 1 PISY 6.5 14 11.2 15.8
41 11.89 18.51 0 1 PISY 10.2 16.4 25.8 18.6
42 10.53 20.22 0 1 PISY 21.4 16.4 28.4 18.6
43 9.22 22.48 0 1 PISY 15.3 15 18.6 17
44 12.57 24.35 0 1 PISY 13.3 16.3 24.5 18.4
45 14.14 21.7 0 1 PISY 11.8 16 25.2 18.1
46 13 19.94 0 1 PISY 10.2 16.3 18.4 18.4
47 13.66 19.73 0 1 PISY 12.7 16.1 24.6 18.2
48 15.96 20.65 0 1 PISY 15.2 17.9 26.4 20.3
49 17.33 16.16 0 1 PISY 8.8 17.1 32.4 19.4
50 26.78 12.6 0 0.441176470588235 PISY 8 14.9 13.6 16.9
51 24.38 13.35 0 1 PISY 15 17.2 24 19.5
52 23.92 13.98 0 1 PISY 14.7 17.2 23.6 19.5
53 22.64 14.71 0 1 PISY 13.1 15.8 22.8 17.9
54 20.08 16.67 0 1 PISY 8.3 15 13.8 17
55 18.28 19.33 0 1 PISY 11.4 15.6 17 17.7
56 15.77 23.38 0 1 PISY 19.6 17.2 26.4 19.5
57 14.31 27.84 0 0.441176470588235 PISY 12.9 16.9 21.8 19.1
58 14.46 27.19 0 1 PISY 16.5 16.9 25.7 19.1
59 15.66 26.06 0 1 PISY 9.4 15.9 16.8 18
60 17.19 28.17 0 0.441176470588235 PISY 17.2 16.1 23.5 18.2
61 19.43 27.04 0 0.441176470588235 PISY 7.7 14.5 12.4 16.4
62 18.82 24 0 1 PISY 16.6 16.3 27.6 18.4
63 21.25 23.11 0 0.441176470588235 PISY 9.8 16 17.3 18.1
64 0.04 0.5 0 0.441176470588235 FASY 5.1 11.7 8.4 14
66 -0.13 3.8 0 1 FASY 8.8 11.7 14.6 14
67 -2.59 9.66 0 1 FASY 5 12.7 10 15.1
68 -4.16 10.29 0 0.441176470588235 FASY 5.4 12 8.8 14.3
69 -4.35 10.76 0 1 FASY 5.2 11.8 8.5 14.1
70 -3.68 13.72 0 1 FASY 4.4 12.4 9.5 14.8
71 -6.39 14.34 0 0.441176470588235 FASY 5.1 11.2 7.6 13.3
72 -5.05 14.66 0 1 FASY 5.2 11.8 8.5 14.1
73 -6.06 15.78 0 1 FASY 5.4 13.7 12.2 16.3
74 -7.46 17.58 0 0.441176470588235 FASY 4.8 11.3 7.8 13.5
75 -5.18 19.32 0 0.441176470588235 FASY 4.4 12.4 9.5 14.8
76 -3.66 17.22 0 1 FASY 4.9 11.5 8 13.7
77 -3.99 18.78 0 1 FASY 5.1 11.7 8.4 14
78 0.77 11.07 0 1 FASY 4.3 12.2 9 14.5
