#tree x y z gew species d1989 h1989 d1993 h1993
1 608152.6 484416.1 338.3 1 PCAB 28.73 29.75 29.81 29.91
5 608157.4 484416.2 338.2 1 PCAB 29.52 27.44 30.46 29.81
16 608164.5 484414.3 337.5 1 PCAB 37.95 32.34 39.96 33.15
22 608168.4 484411.6 337.2 1 PCAB 26.97 29.89 27.19 30.38
33 608177.7 484410.2 336.6 1 PCAB 39.72 31.79 41.09 32.26
53 608192.4 484403.8 335.6 1 PCAB 20.69 25.33 21.07 25.81
56 608195.4 484403.2 335.5 1 PCAB 34.03 31.82 35.41 32.58
59 608198.3 484402.1 335.3 1 PCAB 33.15 31.55 34.35 32.44
65 608204.4 484402 335.4 1 PCAB 24.42 27.07 24.93 27.23
80 608206.5 484398 334.7 1 PCAB 37.07 29.33 39.03 31.57
84 608201.6 484398.1 334.7 1 PCAB 49.62 33.94 52.52 34.28
101 608185.7 484402.8 335.7 1 PCAB 39.81 30.71 41.25 31.29
103 608184.9 484404.6 335.9 1 PCAB 32.36 30.41 34.03 30.82
109 608179.6 484406.5 336.2 1 PCAB 39.23 32.36 41.44 33.68
119 608170.8 484409.4 336.6 1 PCAB 42.36 31.69 45.2 33.11
122 608167.5 484408.5 336.8 1 PCAB 43.35 32.35 44.96 32.91
135 608159.3 484412.6 337.7 1 PCAB 37.36 31.92 38.56 32.82
141 608154.8 484412.5 337.8 1 PCAB 51.78 33.12 54.9 33.65
149 608153.7 484409.7 337.3 1 PCAB 27.85 26.83 28.13 27.16
165 608163.8 484406.6 336.4 1 PCAB 35.79 31.63 37.78 32.37
177 608172.5 484404.4 335.9 1 PCAB 33.05 29.77 33.52 30.15
181 608179.5 484403.2 335.6 1 PCAB 32.75 31.19 34.62 32.45
192 608188.3 484400.6 335.2 1 PCAB 36.68 29.91 37.78 30.63
198 608193.8 484397.4 334.6 1 PCAB 30.99 30.3 31.74 31.19
201 608196.7 484396.6 334.6 1 PCAB 30.11 29.79 30.74 30.84
206 608200.6 484395.1 334.3 1 PCAB 33.73 30.19 34.44 31.77
215 608208.4 484394.4 334.1 1 PCAB 23.83 24.28 24.13 25.05
226 608197.2 484393.3 333.9 1 PCAB 37.95 30.71 39.86 32.81
230 608193.1 484394.7 334.2 1 PCAB 35.01 30.2 36.1 31.24
232 608190.4 484396.9 334.4 1 PCAB 34.32 31.23 35.3 32.65
243 608180 484398.4 334.9 1 PCAB 31.77 33.05 32.77 33.31
253 608173.2 484401.9 335.6 1 PCAB 25.89 27.82 26.31 27.96
259 608169 484403.2 335.7 1 PCAB 40.01 34.45 42.33 36.08
265 608164.4 484403.2 335.7 1 PCAB 23.93 27.45 24.14 27.67
275 608156.1 484407.2 336.9 1 PCAB 36.68 30.98 38.31 32.42
289 608152.5 484405.4 336.7 1 PCAB 24.81 27.27 25.82 28.72
295 608156.4 484402.7 336.1 1 PCAB 46.97 33.39 49.85 34.2
307 608166.3 484399.5 335.2 1 PCAB 37.17 33.02 38.77 33.2
320 608177 484397.6 334.8 1 PCAB 40.6 31.17 42.2 32.39
325 608180.7 484396.6 334.7 1 PCAB 29.81 30.18 31.26 31.42
335 608189.5 484394 334 1 PCAB 41.58 32.71 43.05 34.18
338 608191.9 484391.7 333.8 1 PCAB 30.2 29.67 30.55 30.27
343 608196.3 484390.4 333.4 1 PCAB 28.44 28.49 29.18 29.64
348 608201 484390.4 333.4 1 PCAB 36.09 30.41 38.28 32.18
350 608202 484388.5 333.2 1 PCAB 31.97 28.1 32.61 28.99
356 608206.3 484387.2 332.8 1 PCAB 40.11 32.19 43.12 33.72
379 608185.7 484391.8 333.9 1 PCAB 36.68 30.49 37.78 30.68
381 608182.6 484391.3 333.8 1 PCAB 30.79 30.56 33.04 32.24
384 608179.9 484393.6 334.2 1 PCAB 26.73 24.13 26.76 25.33
392 608173.2 484395.7 334.4 1 PCAB 29.62 30.38 31.16 30.68
399 608167.2 484397.5 335 1 PCAB 38.64 31.09 40.36 32.16
403 608162.8 484397.5 334.9 1 PCAB 23.93 27.12 24.51 28.02
407 608160 484399.6 335.4 1 PCAB 30.11 29.24 31.06 30.48
414 608152.6 484400.4 335.6 1 PCAB 29.26 25.38 29.67 26.04
421 608147.5 484399.2 335.6 1 PCAB 33.15 30.95 34.12 32.23
436 608158.8 484395.7 334.9 1 PCAB 43.54 33.04 45.46 34.61
454 608175.3 484392.3 333.9 1 PCAB 44.13 32.33 46.11 33.75
459 608179.9 484389 333.5 1 PCAB 20.79 26.79 21.46 27.56
469 608188.7 484386.3 332.8 1 PCAB 32.56 28.32 33.42 29.43
474 608196.3 484385.8 332.8 1 PCAB 40.4 32.06 42.02 33.3
476 608198.9 484384.6 332.6 1 PCAB 31.19 29.61 32.05 30.92
489 608199.3 484380.3 331.6 1 LADC 50.31 33.38 50.85 34.6
500 608189.7 484384.4 332.5 1 PCAB 43.84 33.88 44.94 34.43
507 608182.7 484386.6 333 1 PCAB 28.64 25.93 28.68 26.47
